date,value
25/07/2021,27
26/07/2021,26
27/07/2021,32
28/07/2021,50
29/07/2021,50
30/07/2021,53
31/07/2021,60
1/08/2021,60
2/08/2021,48
3/08/2021,48
4/08/2021,42
5/08/2021,50
6/08/2021,52
7/08/2021,69
8/08/2021,74
9/08/2021,65
10/08/2021,71
11/08/2021,70
12/08/2021,70
13/08/2021,70
14/08/2021,76
15/08/2021,71
16/08/2021,72
17/08/2021,72
18/08/2021,73
19/08/2021,70
20/08/2021,70
21/08/2021,78
22/08/2021,76
23/08/2021,79
24/08/2021,79
25/08/2021,73
26/08/2021,75
27/08/2021,71
28/08/2021,78
29/08/2021,72
30/08/2021,73
31/08/2021,73
1/09/2021,71
2/09/2021,74
3/09/2021,74
4/09/2021,72
5/09/2021,73
6/09/2021,79
7/09/2021,79
8/09/2021,47
9/09/2021,45
10/09/2021,46
11/09/2021,31
12/09/2021,32
13/09/2021,44
14/09/2021,30
15/09/2021,49
16/09/2021,53
17/09/2021,48
18/09/2021,50
19/09/2021,53
20/09/2021,50
21/09/2021,27
22/09/2021,21
23/09/2021,27
24/09/2021,33
25/09/2021,28
26/09/2021,27
27/09/2021,26
28/09/2021,25
29/09/2021,24
30/09/2021,20
1/10/2021,27
2/10/2021,54
3/10/2021,49
4/10/2021,54
5/10/2021,59
6/10/2021,68
7/10/2021,76
8/10/2021,74
9/10/2021,72
10/10/2021,71
11/10/2021,71
12/10/2021,78
13/10/2021,70
14/10/2021,70
15/10/2021,71
16/10/2021,78
17/10/2021,79
18/10/2021,78
19/10/2021,75
20/10/2021,82
21/10/2021,84
22/10/2021,75
23/10/2021,74
24/10/2021,73
25/10/2021,72
26/10/2021,76
27/10/2021,73
28/10/2021,66
29/10/2021,70
30/10/2021,73
31/10/2021,74
1/11/2021,74
2/11/2021,73
3/11/2021,76
4/11/2021,73
5/11/2021,73
6/11/2021,71
7/11/2021,73
8/11/2021,75
9/11/2021,84
10/11/2021,75
11/11/2021,77
12/11/2021,74
13/11/2021,72
14/11/2021,74
15/11/2021,72
16/11/2021,71
17/11/2021,52
18/11/2021,54
19/11/2021,34
20/11/2021,43
21/11/2021,49
22/11/2021,50
23/11/2021,33
24/11/2021,42
25/11/2021,32
26/11/2021,47
27/11/2021,21
28/11/2021,27
29/11/2021,33
30/11/2021,40
1/12/2021,34
2/12/2021,32
3/12/2021,31
4/12/2021,25
5/12/2021,18
6/12/2021,16
7/12/2021,25
8/12/2021,28
9/12/2021,29
10/12/2021,24
11/12/2021,16
12/12/2021,27
13/12/2021,28
14/12/2021,21
15/12/2021,28
16/12/2021,29
17/12/2021,23
18/12/2021,24
19/12/2021,29
20/12/2021,25
21/12/2021,27
22/12/2021,45
23/12/2021,34
24/12/2021,41
